title,photo_url
The Lantern Bangsar,https://thelanternbangsar.com/wp-content/themes/cdc-asset-management/images/thelantern-feature-new-main-mobile-6.jpg
Parkside Residences,https://spsetia-cdn-f9hffqarazcwc5fj.a03.azurefd.net/wp-content/uploads/2025/08/Facade-Tower_graded_LR-1.jpg
Bangsar Hill Park (Tower B - Talisa),https://www.bangsarhillpark.com/wp-content/uploads/2026/07/Block-CB-Front-View.jpeg
Bangsar Hill Park (Tower C - Talisa II),https://www.bangsarhillpark.com/wp-content/uploads/2026/07/Block-CB-Front-View.jpeg
Bangsar Hill Park (Tower D - Verdura),https://www.bangsarhillpark.com/wp-content/uploads/2026/07/Block-CB-Front-View.jpeg
Bangsar Hill Park (Tower E - Verdura),https://www.bangsarhillpark.com/wp-content/uploads/2026/07/Block-CB-Front-View.jpeg
Khaya Residences,https://assets.theedgemarkets.com/bayumantap-bc220126_thumb_theedgemalaysia.jpg
One Eleven Menerung,https://media.edgeprop.my/s3fs-public/editorial/my/2022/Feb/22/Image2.png
6 Kapas,https://pbm.my/wp-content/uploads/2026/05/Kapas-Height-003-VB-190.68.webp
The Shang Residence,https://media.metproperty.com/projects/images/1786504292424-4yjsj28610e-TheShangResidence_KuchaiLama_facade-1.avif
M Aspira,https://www.mahsing.com.my/web/wp-content/uploads/2024/09/M-Aspira_Website-Cover-05.png
The Atas Residences,https://newpropertylaunch.com.my/wp-content/uploads/2024/05/The-Atas-1024x765.jpg
Aetas Seputeh,https://media.edgeprop.my/s3fs-public/editorial/my/2025/September/29/Aetas%20CP.png
Setia Sky Seputeh,https://dbv47yu57n5vf.cloudfront.net/s3fs-public/editorial/my/2016/August/18/SetiaSkySeputeh-OverallDay_View.jpg
Pavilion Square,https://raw.githubusercontent.com/srithesigan98/SocialMediaAgents/main/agents/hulk/scripts/posters/mirror-pavilion-square.png
38 Bangsar Residensi,https://www.udaproperty.com.my/sites/default/files/banner-img/2023-01/38%20Bangsar%20%28mobile%29_0.png
Riana Trees Residences,https://pantaisentralpark.com/wp-content/themes/psp/images/riana-trees-residences/new-forest-living-banner.jpg
Golden Crown Residence,https://static.wixstatic.com/media/60fd5e_e2981cd8fe8647cba4fca1253e6403a6~mv2.webp
Quill Residences,https://www.quillresidences.com/wp-content/themes/quillresidences-full/img/home/landing-header.jpg
SUTERA (KL City Gateway),https://klcitygateway.com/wp-content/uploads/2026/07/ka2541-saloma-overlooking-facade-hr-extended.jpg
AOSIS Mont' Kiara,https://media.edgeprop.my/s3fs-public/editorial/my/2026/September/10/FacadeHiresFACompressed.jpg
Cappella Embassy ,https://cappellaembassy.com/image/cappella-embassy-embassy-row-hero-3009.jpg
